상품종류,단축코드,표준코드,한글종목명,ATM구분,행사가,월물구분코드,기초자산 단축코드,기초자산 명,시장분류코드,만기,delta,gamma,theta,vega,rho,otst,date,gamma_exposure
6,301V11210,KR4301VB2108,P 202411 210.0,3,210.0, ,2001,KOSPI200,P,202411,0.0,0.0,-0.0,0.0,0.0,13683,20241103,0.0
6,301V11212,KR4301VB2124,P 202411 212.5,3,212.5, ,2001,KOSPI200,P,202411,0.0,0.0,-0.0,0.0,0.0,8132,20241103,0.0
6,301V11215,KR4301VB2157,P 202411 215.0,3,215.0, ,2001,KOSPI200,P,202411,0.0,0.0,-0.0,0.0,0.0,7329,20241103,0.0
6,301V11217,KR4301VB2173,P 202411 217.5,3,217.5, ,2001,KOSPI200,P,202411,0.0,0.0,-0.0,0.0,0.0,4466,20241103,0.0
6,301V11220,KR4301VB2207,P 202411 220.0,3,220.0, ,2001,KOSPI200,P,202411,0.0,0.0,-0.0,0.0,0.0,5653,20241103,0.0
6,301V11222,KR4301VB2223,P 202411 222.5,3,222.5, ,2001,KOSPI200,P,202411,0.0,0.0,-0.0,0.0,0.0,2323,20241103,0.0
6,301V11225,KR4301VB2256,P 202411 225.0,3,225.0, ,2001,KOSPI200,P,202411,0.0,0.0,-0.0,0.0,0.0,3969,20241103,0.0
6,301V11227,KR4301VB2272,P 202411 227.5,3,227.5, ,2001,KOSPI200,P,202411,0.0,0.0,-0.0,0.0,-0.0,3217,20241103,0.0
6,301V11230,KR4301VB2306,P 202411 230.0,3,230.0, ,2001,KOSPI200,P,202411,-0.0,0.0,-0.0,0.0,-0.0,3471,20241103,0.0
6,301V11232,KR4301VB2322,P 202411 232.5,3,232.5, ,2001,KOSPI200,P,202411,-0.0,0.0,-0.0,0.0,-0.0,1288,20241103,0.0
6,301V11235,KR4301VB2355,P 202411 235.0,3,235.0, ,2001,KOSPI200,P,202411,-0.0,0.0,-0.0,0.0,-0.0,1462,20241103,0.0
6,301V11237,KR4301VB2371,P 202411 237.5,3,237.5, ,2001,KOSPI200,P,202411,-0.0,0.0,-0.0,0.0,-0.0,1117,20241103,0.0
6,301V11240,KR4301VB2405,P 202411 240.0,3,240.0, ,2001,KOSPI200,P,202411,-0.0,0.0,-0.0,0.0,-0.0,6180,20241103,0.0
