date,selected_etf_count,selected_total_trading_value,kospi_trading_value,ratio
20100104,22,71404021675.0,4364595613797.0,0.016359825283534513
20100105,22,64618915680.0,6830723338336.0,0.009460039951748581
20100106,22,64639373035.0,6391016648164.0,0.010114098678426928
20100107,23,62382361120.0,7498405146704.0,0.00831941724933612
20100108,23,63110369735.0,6965072761490.0,0.00906097780972774
20100111,23,51272529005.0,6952668904693.0,0.007374510379804139
20100112,23,65466338711.0,5330058963940.0,0.012282479265971766
20100113,23,93830726829.0,5286074355123.0,0.017750549940347308
20100114,23,75330876477.0,6219871212252.0,0.012111324158707991
20100115,23,78123257810.0,6485923305209.0,0.012045048042313012
20100118,23,87152413424.0,6335015101551.0,0.013757254249111813
20100119,23,92228505861.0,5700481869166.0,0.016179071871075583
20100120,23,77263657374.0,7290025113782.0,0.010598544746839193
20100121,23,46782917436.0,5803562919133.0,0.008061068362293028
20100122,23,133198453987.0,6695896776345.0,0.019892548890173792
20100125,23,65583644697.0,5838456647313.0,0.011233044734036553
20100126,23,91957305630.0,6114372716785.0,0.015039532244666972
20100127,23,73642047097.0,5760748918851.0,0.012783415513219095
20100128,23,56870196360.0,5472747492239.0,0.01039152572645616
20100129,23,92013571858.0,5729024628563.0,0.016060948909043107
20100201,23,83405497145.0,5109265157224.0,0.016324362619362747
20100202,23,80910625860.0,5008804043940.0,0.016153681627431863
20100203,23,55622582376.0,4459113496818.0,0.012473910434370416
20100204,23,57902297335.0,4093281370822.0,0.014145691949677098
20100205,23,137993975725.0,4940523688585.0,0.027931042218020903
20100208,23,66996975584.0,4182125534894.0,0.016019838482848915
20100209,23,72178231450.0,4308484186098.0,0.016752581263474144
20100210,23,50618596099.0,4184074640077.0,0.012097919003201257
20100211,23,148531045685.0,4404075952107.0,0.03372581383705241
20100212,23,78003606510.0,4240413318460.0,0.01839528382066509
20100216,23,54762806290.0,2731491412185.0,0.020048683311141596
20100217,23,102369871980.0,4105200699265.0,0.02493663025983807
20100218,23,73215150500.0,3281797223311.0,0.02230946811093141
20100219,23,109698463725.0,3775987753696.0,0.02905159414715403
20100222,24,88052327146.0,3453092611931.0,0.02549955562783483
20100223,24,53891987229.0,3519764072011.0,0.015311249881077705
