BAS_DD,PROD_NM,RGHT_TP_NM,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,EXPIRATION_DATE,FUNDAMENTAL_CLSPRC
20241101,코스피200 옵션,CALL,201VB210,코스피200 C 202411 210.0,-,-,-,-,-,64.00,127.70,0,0,110,202411,337.49
20241101,코스피200 옵션,CALL,201VB212,코스피200 C 202411 212.5,-,-,-,-,-,64.00,125.20,0,0,20,202411,337.49
20241101,코스피200 옵션,CALL,201VB215,코스피200 C 202411 215.0,-,-,-,-,-,64.00,122.70,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB217,코스피200 C 202411 217.5,-,-,-,-,-,64.00,120.20,0,0,25,202411,337.49
20241101,코스피200 옵션,CALL,201VB220,코스피200 C 202411 220.0,-,-,-,-,-,64.00,117.70,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB222,코스피200 C 202411 222.5,-,-,-,-,-,64.00,115.20,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB225,코스피200 C 202411 225.0,-,-,-,-,-,64.00,112.70,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB227,코스피200 C 202411 227.5,-,-,-,-,-,64.00,110.20,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB230,코스피200 C 202411 230.0,-,-,-,-,-,64.00,107.70,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB232,코스피200 C 202411 232.5,-,-,-,-,-,64.00,105.25,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB235,코스피200 C 202411 235.0,102.15,-2.55,103.00,103.05,102.10,64.00,102.15,6,153812500,76,202411,337.49
20241101,코스피200 옵션,CALL,201VB237,코스피200 C 202411 237.5,-,-,-,-,-,61.33,100.25,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB240,코스피200 C 202411 240.0,-,-,-,-,-,58.66,97.75,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB242,코스피200 C 202411 242.5,-,-,-,-,-,55.99,95.25,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB245,코스피200 C 202411 245.0,-,-,-,-,-,53.33,92.75,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB247,코스피200 C 202411 247.5,-,-,-,-,-,50.66,90.25,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB250,코스피200 C 202411 250.0,-,-,-,-,-,48.00,87.75,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB252,코스피200 C 202411 252.5,-,-,-,-,-,45.33,85.25,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB255,코스피200 C 202411 255.0,-,-,-,-,-,42.66,82.75,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB257,코스피200 C 202411 257.5,-,-,-,-,-,40.00,80.25,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB260,코스피200 C 202411 260.0,-,-,-,-,-,37.33,77.75,0,0,4,202411,337.49
20241101,코스피200 옵션,CALL,201VB262,코스피200 C 202411 262.5,-,-,-,-,-,34.66,75.25,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB265,코스피200 C 202411 265.0,73.60,-1.10,73.60,73.60,73.60,32.00,73.60,3,55200000,3,202411,337.49
20241101,코스피200 옵션,CALL,201VB267,코스피200 C 202411 267.5,-,-,-,-,-,32.00,70.25,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB270,코스피200 C 202411 270.0,-,-,-,-,-,32.00,67.75,0,0,0,202411,337.49
20241101,코스피200 옵션,CALL,201VB272,코스피200 C 202411 272.5,66.20,-1.00,66.05,66.50,65.95,32.00,66.20,10,165500000,10,202411,337.49
20241101,코스피200 옵션,CALL,201VB275,코스피200 C 202411 275.0,64.00,-0.70,63.55,64.00,63.55,3.00,64.00,6,95662500,6,202411,337.49
20241101,코스피200 옵션,CALL,201VB277,코스피200 C 202411 277.5,61.50,-0.70,61.50,61.50,61.50,3.00,61.50,3,46125000,3,202411,337.49
